UF,Nom_Mun,PopEst2021,PIB_per_capita,lat,long
PA,Novo Progresso,25769.0,37701.86,-7.03289373106111,-55.41453711374453
SC,Balneário Rincão,13129.0,22440.07,-28.836356152,-49.2405474199999
MG,Caiana,5584.0,15876.73,-20.6952823059999,-41.9234581609999
RJ,Varre-Sai,11208.0,23568.37,-20.925928649000003,-41.8695682199999
MG,Carangola,33022.0,19358.62,-20.7338026799999,-42.0283566549999
SP,Santa Cruz da Esperança,2166.0,29296.72,-21.292386649347225,-47.42970195548681
BA,Ibirapuã,8740.0,51568.29,-17.687688977999898,-40.110286564999896
MG,Durandé,7898.0,15560.07,-20.2024536579999,-41.7949631959999
RS,São José dos Ausentes,3559.0,43728.9,-28.748422654861574,-50.064851651669194
RS,Charrua,3228.0,46267.26,-27.954536684999898,-52.0157840079999
RS,Jaquirana,3611.0,26042.85,-28.8839312299999,-50.35827908699989
RS,Quatro Irmãos,1860.0,99979.63,-27.8225677179999,-52.4429150999999
PR,Agudos do Sul,9567.0,22674.09,-25.9874654949999,-49.3357321919999
RS,Cruzaltense,1765.0,82018.89,-27.6673189589999,-52.648800945999895
RS,Paulo Bento,2303.0,85049.56,-27.702899490999897,-52.422610944999896
RS,Pinhal da Serra,1896.0,160718.98,-27.8751584669999,-51.1700194339999
RS,Santa Cecília do Sul,1630.0,88269.41,-28.163866766,-51.9298217059999
PB,Barra de Santa Rosa,15607.0,9665.19,-6.716695889999929,-36.059827527
RN,Currais Novos,45022.0,17863.07,-6.25575659599997,-36.517449713
RN,Florânia,9772.0,12330.46,-6.12355645399998,-36.8106551229999
RN,Janduís,5228.0,16162.7,-6.015316149999929,-37.4077413099999
MT,Alto Taquari,11413.0,113538.74,-17.830207459999897,-53.282479470999895
MT,Novo Santo Antônio,2769.0,20458.85,-12.2914944889999,-50.968330567
MT,Tesouro,3761.0,83165.07,-16.081589396000002,-53.5544639029999
MG,Angelândia,8594.0,16818.81,-17.7259999029999,-42.273002508999895
MG,Capelinha,38321.0,23174.33,-17.6909999069999,-42.5160021449999
MG,Coroaci,9897.0,12690.02,-18.621999927999898,-42.286002493999895
MG,Córrego Fundo,6425.0,49904.63,-20.449,-45.55499999999989
MG,Engenheiro Caldas,11268.0,13936.2,-19.1995300459999,-42.0466874749999
SP,Iaras,9786.0,17261.62,-22.8709999989999,-49.1630000019999
MT,Rondolândia,4069.0,28110.57,-10.8443019740102,-61.459678171994696
PA,Vigia,54650.0,8724.37,-0.855532573667763,-48.1414985852069
MT,Serra Nova Dourada,1705.0,43686.5,-12.090906436999898,-51.402214508
RS,Alecrim,5710.0,28383.93,-27.6549788579999,-54.7640250139999
RS,Santa Margarida do Sul,2593.0,139226.56,-30.3396509999999,-54.07973199999989
MG,Caldas,14600.0,23127.61,-21.9239999999999,-46.385999999999896
RR,Rorainópolis,31387.0,23333.09,0.940860885198041,-60.434524396014794
RR,Amajari,13561.0,17758.73,3.6521516894710344,-61.41938454705263
SC,Caibi,6112.0,51823.35,-27.0745415649999,-53.2487406529999
MG,Camacho,2839.0,24964.43,-20.6249999999999,-45.1569999999999
BA,Irará,29305.0,9764.11,-12.034093352000001,-38.76689676
BA,Ichu,6232.0,9048.63,-11.748685859,-39.190597065999995
MG,Barroso,20981.0,29022.49,-21.1883986909999,-43.97305886499989
GO,Britânia,5815.0,34067.31,-15.242873505,-51.165439751
BA,Santa Terezinha,10520.0,9640.48,-12.769593165999899,-39.52273672599989
BA,Várzea da Roça,14135.0,7937.78,-11.606981708,-40.138670291000004
BA,Terra Nova,13018.0,13089.85,-12.403928442999899,-38.6203571459999
SP,Uru,1142.0,40623.52,-21.7839999989999,-49.2810000019999
PI,Baixa Grande do Ribeiro,11751.0,150504.56,-7.85986998799996,-45.2098717169999
PI,Arraial,4713.0,10380.26,-6.6517443939999294,-42.534918209000004
PI,Antônio Almeida,3175.0,45295.91,-7.21944277499995,-44.193558888
PI,Agricolândia,5123.0,9229.59,-5.797946567999929,-42.658530399
PI,Barras,47298.0,10520.51,-4.24484476599997,-42.293833268
PI,Nossa Senhora de Nazaré,4911.0,9750.53,-4.627029487999949,-42.176674654
PI,São Lourenço do Piauí,4581.0,9891.95,-9.16874561299994,-42.547427125999896
PI,Pavussu,3662.0,10293.08,-7.96499155399994,-43.22517658
PI,Amarante,17609.0,10937.14,-6.244857231999959,-42.850799743
PI,Barra D'Alcântara,3953.0,9856.65,-6.51934274399997,-42.106783707
PI,Altos,40681.0,13219.3,-5.03919400199993,-42.4595655959999
PI,Porto,12646.0,9374.27,-3.89169810599998,-42.711565955
PI,Alto Longá,14371.0,9112.43,-5.25584042199995,-42.204562458999895
PI,Alvorada do Gurguéia,5469.0,15016.43,-8.443936732531537,-43.86309294019152
PI,Avelino Lopes,11361.0,8590.91,-10.134663318000001,-43.949595566999996
PI,Francisco Ayres,4300.0,10875.11,-6.62522944099993,-42.6936298319999
PI,Lagoinha do Piauí,2870.0,14117.98,-5.83158293899993,-42.633797892000004
MG,Couto de Magalhães de Minas,4436.0,14262.94,-18.07534398833914,-43.47215101820735
MG,Cantagalo,4575.0,12406.75,-18.52648247533299,-42.62623555766705
MG,Pingo-d'Água,5029.0,10483.1,-19.726999960999898,-42.4080023349999
MG,Açucena,9270.0,17888.2,-19.0729999409999,-42.546002109999904
MG,Águas Formosas,19285.0,14913.12,-17.0827280549999,-40.9363067449999
PI,Beneditinos,10479.0,8769.43,-5.456788538999939,-42.3598785029999
PI,Bertolínia,5512.0,13091.16,-7.636267930999959,-43.9531792769999
MG,Pitangui,28433.0,26073.15,-19.6829999999999,-44.889999999999894
MG,Alvarenga,3783.0,14445.67,-19.41641423194732,-41.727124725125975
MG,Andradas,41704.0,28386.06,-22.0679999929999,-46.56900008299989
MG,Arcos,40658.0,57713.61,-20.2819999999999,-45.538999999999895
RS,Água Santa,3738.0,146445.07,-28.178004026999897,-52.035153556000004
RS,Ajuricaba,6951.0,74961.71,-28.2389999999999,-53.770999980999896
MG,Chiador,2657.0,14020.88,-22.0034828709999,-43.05606347399989
RS,Ametista do Sul,7396.0,24036.02,-27.360909446999898,-53.184589894999895
RS,André da Rocha,1351.0,142922.95,-28.631779495999897,-51.5717520939999
PB,Araçagi,16857.0,11026.72,-6.85274874199996,-35.379623306999996
PB,Bananeiras,21220.0,13143.47,-6.74433870399997,-35.630921896000004
PB,Cuité de Mamanguape,6360.0,11652.59,-6.91514006999995,-35.250818135
RN,Canguaretama,34814.0,17397.55,-6.381400624999969,-35.1293546119999
RN,Espírito Santo,10463.0,9326.78,-6.33290026499998,-35.311766054
RN,Nova Cruz,37554.0,14925.2,-6.47905483199997,-35.434343627
RN,Passa e Fica,13667.0,11145.41,-6.433118236999969,-35.645794431999896
RN,Pedro Velho,14881.0,11667.15,-6.4389898939999695,-35.221682566
RN,Santo Antônio,24422.0,12387.88,-6.31117759299997,-35.480521247000006
PB,Natuba,10449.0,9136.26,-7.643499875999959,-35.5531124459999
PB,Salgado de São Félix,12123.0,10610.87,-7.35758023099993,-35.4363663249999
RN,Lagoa de Velhos,2732.0,13997.62,-6.00392511699994,-35.871233737
RN,Riachuelo,8310.0,23123.68,-5.81410237299997,-35.824058994
RN,Ruy Barbosa,3584.0,35372.02,-5.881289847999939,-35.935296181
RN,Santa Maria,5689.0,13716.38,-5.839977615999939,-35.693394317999896
RN,São Paulo do Potengi,17858.0,12966.47,-5.893835044999951,-35.764769867
RN,Senador Elói de Souza,6167.0,9806.43,-6.03595299299997,-35.692792927999996
RN,Serra Caiada,10646.0,10267.49,-6.10588420399995,-35.712406071000004
RN,Sítio Novo,5600.0,9604.36,-6.10395769399997,-35.9110741869999
PE,Abreu e Lima,100698.0,17123.06,-7.903838883999979,-34.907311813
PB,Itatuba,11069.0,14022.61,-7.37834262399997,-35.627723607
RN,Tangará,16008.0,12605.26,-6.19759144399995,-35.80032335800001
PB,Arara,13613.0,8250.02,-6.82958352499998,-35.758793458
PB,Areia,22493.0,11435.64,-6.96536199399998,-35.702633673
PB,Areial,7054.0,8871.24,-7.049889720999939,-35.925155073
PB,Cabaceiras,5710.0,20400.58,-7.49187227899995,-36.2881313139999
PB,Caraúbas,4206.0,10032.69,-7.728289843999959,-36.493481460999895
PB,Damião,5409.0,9294.97,-6.63179846399993,-35.905180021
PB,Esperança,33386.0,15193.67,-7.01866023399998,-35.8595072329999
PB,Matinhas,4528.0,11933.63,-7.122040442999949,-35.7701386589999
RN,São Bento do Trairí,4541.0,10047.06,-6.34220891899997,-36.0855899439999
RN,Serra Negra do Norte,8105.0,14666.95,-6.6657795129999595,-37.398763581
RN,Acari,11106.0,12785.32,-6.43531837499995,-36.640892525
RN,Carnaúba dos Dantas,8297.0,14267.01,-6.5571809539999295,-36.5912117029999
RN,Coronel Ezequiel,5501.0,9545.02,-6.385867418999959,-36.217511821
RN,Jaçanã,9341.0,9248.51,-6.42791502399996,-36.203768354000005
RN,Parelhas,21611.0,17071.27,-6.6918254959999794,-36.662320021000006
RS,Barão de Cotegipe,6616.0,51643.3,-27.622816316,-52.378587653999894
RS,Barra Funda,2563.0,64388.93,-27.9229679789999,-53.037708970999894
RS,Arroio Grande,18185.0,62222.04,-32.2380000009999,-53.0869999849999
PB,Cacimba de Areia,3708.0,10546.32,-7.128790211999959,-37.156592442
